"","Estimate","Lower","Upper","analysis","modelForm","stepDist","turnDist","availablePerStep","branches","species","indi","tf","td","sigColour"
"ssfOUT_7_0.5_1_KINGCOBRA.9",14.4947147668944,-1422.27682370713,1451.26625324092,"ssf","mf.is","gamma","unif",158,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.10",14.4585229574702,-1478.21626505096,1507.1333109659,"ssf","mf.is","gamma","unif",500,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.11",13.8786448947516,-2415.25939239553,2443.01668218503,"ssf","mf.is","exp","vonmises",5,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.12",14.6529113638123,-2093.26793630926,2122.57375903689,"ssf","mf.is","exp","vonmises",15,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.13",15.0373713291683,-1615.2896445699,1645.36438722824,"ssf","mf.is","exp","vonmises",50,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.14",14.0914498718275,-1331.85442341795,1360.03732316161,"ssf","mf.is","exp","vonmises",158,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.15",14.094769125259,-1297.38944380765,1325.57898205817,"ssf","mf.is","exp","vonmises",500,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.16",14.8496903955782,-2699.6396871983,2729.33906798946,"ssf","mf.is","exp","unif",5,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.17",14.2966117139501,-2306.33356288104,2334.92678630894,"ssf","mf.is","exp","unif",15,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.18",13.812993753833,-1453.95429682961,1481.58028433728,"ssf","mf.is","exp","unif",50,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.19",14.3647639196187,-1555.32940713836,1584.0589349776,"ssf","mf.is","exp","unif",158,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.20",14.3380805773908,-1112.41216725655,1141.08832841134,"ssf","mf.is","exp","unif",500,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.21",16.0420746413427,-2411.6508221091,2443.73497139179,"ssf","mf.ss","gamma","vonmises",5,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.22",16.3416321635975,-1803.20312388236,1835.88638820956,"ssf","mf.ss","gamma","vonmises",15,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.23",15.5942941173909,-1136.54921706408,1167.73780529886,"ssf","mf.ss","gamma","vonmises",50,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.24",15.8527687298532,-1159.95629804237,1191.66183550207,"ssf","mf.ss","gamma","vonmises",158,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.25",15.7109866496771,-1075.88246958788,1107.30444288724,"ssf","mf.ss","gamma","vonmises",500,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.26",16.347375362491,-2673.98417337792,2706.6789241029,"ssf","mf.ss","gamma","unif",5,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.27",16.2715150143152,-1945.54639128612,1978.08942131475,"ssf","mf.ss","gamma","unif",15,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.28",15.8795920399786,-1165.04838712769,1196.80757120765,"ssf","mf.ss","gamma","unif",50,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.29",16.0682605992719,-1054.22408444471,1086.36060564326,"ssf","mf.ss","gamma","unif",158,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.30",15.7291712819866,-1085.79543880258,1117.25378136655,"ssf","mf.ss","gamma","unif",500,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.31",16.5894585078389,-2237.50384449782,2270.6827615135,"ssf","mf.ss","exp","vonmises",5,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.32",16.8412898338913,-1710.49185993152,1744.1744395993,"ssf","mf.ss","exp","vonmises",15,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.33",16.9966774871572,-1614.09501453966,1648.08836951398,"ssf","mf.ss","exp","vonmises",50,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.34",15.9021212760322,-1017.00987593584,1048.8141184879,"ssf","mf.ss","exp","vonmises",158,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.35",15.7169494960631,-1007.66088392203,1039.09478291415,"ssf","mf.ss","exp","vonmises",500,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.36",16.8465467752979,-1970.25358797677,2003.94668152736,"ssf","mf.ss","exp","unif",5,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.37",17.6666467754463,-2031.10417392757,2066.43746747847,"ssf","mf.ss","exp","unif",15,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.38",17.0903252650705,-1765.72077337106,1799.9014239012,"ssf","mf.ss","exp","unif",50,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.39",15.8278158663235,-1039.27103661518,1070.92666834783,"ssf","mf.ss","exp","unif",158,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_1_KINGCOBRA.40",15.7053185522944,-971.450185567246,1002.86082267183,"ssf","mf.ss","exp","unif",500,"ssfOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,"no effect"
"ssfOUT_7_0.5_2_BADGER.1",1.28259619603822,0.50033525819689,2.06485713387956,"ssf","mf.is","gamma","vonmises",5,"ssfOUT_7_0.5_2_BADGER","BADGER",2,2,7,"preference"
"ssfOUT_7_0.5_2_BADGER.2",1.49792109987093,0.754070997961969,2.24177120177989,"ssf","mf.is","gamma","vonmises",15,"ssfOUT_7_0.5_2_BADGER","BADGER",2,2,7,"preference"
"ssfOUT_7_0.5_2_BADGER.3",1.0793696319869,0.371725054714079,1.78701420925973,"ssf","mf.is","gamma","vonmises",50,"ssfOUT_7_0.5_2_BADGER","BADGER",2,2,7,"preference"
